Time,LeftVelocityCommand,RightVelocityCommand,LeftActualVelocity,RightActualVelocity,LeftLeadVoltage,LeftFollowVoltage,RightLeadVoltage,RightFollowVoltage,LeftLeadCurrent,LeftFollowCurrent,RightLeadCurrent,RightFollowCurrent
2.602489,0.000000,-0.000000,205.714294,205.714294,12.453125,12.226562,12.265625,12.281250,0.000000,0.000000,0.000000,0.000000,
2.623637,0.000000,-0.000000,205.714294,205.714294,12.453125,12.234375,12.265625,12.296875,0.000000,0.000000,0.000000,0.000000,
2.643130,0.000000,-0.000000,211.428589,211.428589,12.460938,12.234375,12.273438,12.296875,0.000000,0.000000,0.000000,0.000000,
2.662377,0.000000,-0.000000,200.000000,200.000000,12.468750,12.234375,12.273438,12.296875,0.000000,0.000000,0.000000,0.000000,
2.682456,0.019840,0.019840,200.000000,200.000000,12.476562,12.234375,12.273438,12.296875,0.062500,0.000000,0.000000,0.000000,
2.702679,0.052390,0.052390,171.428558,171.428558,12.476562,12.242188,12.273438,12.289062,0.156250,0.093750,0.031250,0.062500,
2.723232,0.163990,0.163990,125.714279,125.714279,12.445312,12.195312,12.273438,12.281250,0.000000,0.000000,0.093750,0.093750,
2.742524,0.424391,0.424391,125.714279,125.714279,12.414062,12.195312,12.171875,12.250000,0.125000,0.000000,0.000000,0.000000,
2.762432,0.714241,0.714241,85.714264,85.714264,12.335938,12.195312,12.187500,12.226562,0.000000,0.031250,0.062500,0.062500,
2.782652,1.350363,1.350363,85.714264,85.714264,12.265625,12.000000,12.171875,12.218750,0.093750,0.031250,0.062500,0.000000,
2.802407,1.837994,1.837994,102.857132,102.857132,11.710938,12.000000,11.625000,11.570312,27.656250,0.031250,24.843750,26.937500,
2.822796,2.455515,2.435984,108.571411,108.571411,11.429688,11.203125,11.312500,11.492188,31.375000,31.625000,30.093750,29.812500,
2.843468,2.681195,2.650678,108.571411,108.571411,11.296875,11.218750,11.187500,11.281250,33.062500,29.031250,30.375000,31.343750,
2.862441,3.038316,3.001390,108.571411,108.571411,11.140625,11.218750,11.031250,11.140625,34.812500,29.031250,25.937500,31.500000,
2.882250,3.162316,3.125390,114.285706,114.285706,11.156250,10.898438,10.757812,10.984375,35.500000,35.062500,34.875000,31.625000,
2.902398,3.162316,3.125390,114.285706,114.285706,11.101562,11.039062,10.710938,10.921875,31.187500,22.562500,33.531250,34.187500,
2.922988,3.162316,3.125390,148.571442,148.571442,10.890625,10.929688,10.445312,11.000000,39.406250,35.593750,36.593750,32.625000,
2.943427,3.162316,3.125390,205.714264,205.714264,10.953125,10.945312,10.570312,10.875000,39.937500,33.718750,34.125000,32.750000,
2.962400,2.346394,2.302449,205.714264,205.714264,10.945312,10.945312,10.500000,10.914062,39.218750,33.718750,30.500000,32.343750,
2.982461,0.260711,0.223784,274.285675,274.285675,12.476562,10.640625,10.453125,11.031250,0.062500,39.656250,28.937500,34.156250,
3.002404,0.036926,-0.036926,302.857117,302.857117,12.406250,12.148438,12.179688,12.210938,0.156250,0.000000,0.000000,0.000000,
3.022903,0.036926,-0.036926,302.857117,302.857117,12.429688,12.179688,12.210938,12.226562,0.187500,0.125000,0.156250,0.187500,
3.043142,0.036926,-0.036926,285.714233,285.714233,12.429688,12.195312,12.250000,12.250000,0.187500,0.125000,0.125000,0.156250,
3.062422,0.036926,-0.036926,285.714233,285.714233,12.445312,12.195312,12.234375,12.257812,0.156250,0.125000,0.125000,0.156250,
3.082341,0.036926,-0.036926,302.857056,302.857056,12.445312,12.187500,12.257812,12.257812,0.187500,0.093750,0.125000,0.156250,
3.102395,0.036926,-0.036926,302.857117,302.857117,12.453125,12.203125,12.257812,12.265625,0.187500,0.125000,0.156250,0.156250,
3.122233,0.036926,-0.036926,302.857117,302.857117,12.460938,12.210938,12.257812,12.273438,0.187500,0.125000,0.156250,0.187500,
3.142524,0.036926,-0.036926,291.428467,291.428467,12.460938,12.210938,12.257812,12.273438,0.156250,0.125000,0.125000,0.156250,
3.162300,0.036926,-0.036926,245.714203,245.714203,12.468750,12.218750,12.250000,12.273438,0.156250,0.125000,0.125000,0.156250,
3.182336,0.036926,-0.036926,245.714203,245.714203,12.460938,12.218750,12.257812,12.281250,0.156250,0.125000,0.125000,0.156250,
3.202380,0.036926,-0.036926,188.571350,188.571350,12.476562,12.226562,12.265625,12.281250,0.156250,0.125000,0.125000,0.156250,
3.222442,0.036926,-0.036926,119.999939,119.999939,12.468750,12.226562,12.257812,12.289062,0.187500,0.125000,0.125000,0.156250,
